expr,time_mean,order,package
run_dfbd(copy(dt)),31.365388601,2,dfbd
run_fastdid(copy(dt)),0.871048301,2,fastdid
run_did(copy(dt)),0.608298801,2,did
run_did(copy(dt)),0.990634701,3,did
run_fastdid(copy(dt)),0.615423301,3,fastdid
run_dfbd(copy(dt)),30.786021801,3,dfbd
run_fastdid(copy(dt)),0.818234801,4,fastdid
run_did(copy(dt)),4.914925301,4,did
run_dfbd(copy(dt)),32.044893601,4,dfbd
run_dfbd(copy(dt)),46.638629901,5,dfbd
run_fastdid(copy(dt)),1.895177901,5,fastdid
run_did(copy(dt)),131.539921501,5,did
run_fastdid(copy(dt)),13.257454101,6,fastdid
run_dfbd(copy(dt)),223.709973701,6,dfbd
