expr,time_mean,time_sd,order
"run_dfbd(s, t)",10.2285425,0.132221978657067,2
"run_event_code(s, t)",2.61794753333333,0.234973745975425,2
"run_dfbd(s, t)",10.5640638,0.0791037666099409,3
"run_event_code(s, t)",2.86417743333333,0.0536038299105888,3
"run_dfbd(s, t)",12.7136496,0.155688358684168,4
"run_event_code(s, t)",5.30900266666667,0.158291046006568,4
"run_event_code(s, t)",25.6974514,0.874302021284979,5
"run_dfbd(s, t)",26.6623830333333,0.324558978697098,5
"run_event_code(s, t)",378.370004566667,0.686622539818584,6
"run_dfbd(s, t)",194.359268933333,5.02416443393948,6
